Year,Gebietseinheit,Units,Kategorien,GeoCode,Value
2012,Niedersachsen,,Bestand_Jahresbeginn,K030,3820559
2012,Braunschweig,Absolut,Bestand_Jahresbeginn,K031,820366
2012,Braunschweig Stadt,Absolut,Bestand_Jahresbeginn,K03101,135723
2012,Salzgitter.Stadt,Absolut,Bestand_Jahresbeginn,K03102,54966
2012,Wolfsburg.Stadt,Absolut,Bestand_Jahresbeginn,K03103,63912
2012,Gifhorn,Absolut,Bestand_Jahresbeginn,K03151,75932
2012,Goslar,Absolut,Bestand_Jahresbeginn,K03153,80233
2012,Helmstedt,Absolut,Bestand_Jahresbeginn,K03154,47205
2012,Northeim,Absolut,Bestand_Jahresbeginn,K03155,68858
2012,Peine,Absolut,Bestand_Jahresbeginn,K03157,60912
2012,Wolfenbüttel,Absolut,Bestand_Jahresbeginn,K03158,59846
2012,Göttingen,Absolut,Bestand_Jahresbeginn,K03159,172779
2012,Hannover,Absolut,Bestand_Jahresbeginn,K032,1068063
2012,Hannover Region,Absolut,Bestand_Jahresbeginn,K03241,581008
2012,Hannover Landeshauptstadt,Absolut,Bestand_Jahresbeginn,K03241001,289399
2012,Diepholz,Absolut,Bestand_Jahresbeginn,K03251,95989
2012,Hameln-Pyrmont,Absolut,Bestand_Jahresbeginn,K03252,79401
2012,Hildesheim,Absolut,Bestand_Jahresbeginn,K03254,139530
2012,Holzminden,Absolut,Bestand_Jahresbeginn,K03255,38186
2012,Nienburg (Weser),Absolut,Bestand_Jahresbeginn,K03256,55706
2012,Schaumburg,Absolut,Bestand_Jahresbeginn,K03257,78243
2012,Lüneburg,Absolut,Bestand_Jahresbeginn,K033,800794
2012,Celle,Absolut,Bestand_Jahresbeginn,K03351,87113
2012,Cuxhaven,Absolut,Bestand_Jahresbeginn,K03352,99501
2012,Harburg,Absolut,Bestand_Jahresbeginn,K03353,113640
2012,Lüchow-Dannenberg,Absolut,Bestand_Jahresbeginn,K03354,26055
2012,Lüneburg,Absolut,Bestand_Jahresbeginn,K03355,84930
2012,Osterholz,Absolut,Bestand_Jahresbeginn,K03356,50382
2012,Rotenburg (Wümme),Absolut,Bestand_Jahresbeginn,K03357,72662
2012,Heidekreis,Absolut,Bestand_Jahresbeginn,K03358,66345
2012,Stade,Absolut,Bestand_Jahresbeginn,K03359,91796
2012,Uelzen,Absolut,Bestand_Jahresbeginn,K03360,47250
2012,Verden,Absolut,Bestand_Jahresbeginn,K03361,61120
2012,Weser-Ems,Absolut,Bestand_Jahresbeginn,K034,1131336
2012,Delmenhorst.Stadt,Absolut,Bestand_Jahresbeginn,K03401,37543
2012,Emden Stadt,Absolut,Bestand_Jahresbeginn,K03402,25540
2012,Oldenburg (Oldb) Stadt,Absolut,Bestand_Jahresbeginn,K03403,85582
2012,Osnabrück Stadt,Absolut,Bestand_Jahresbeginn,K03404,84484
2012,Wilhelmshaven Stadt,Absolut,Bestand_Jahresbeginn,K03405,45124
2012,Ammerland,Absolut,Bestand_Jahresbeginn,K03451,54651
2012,Aurich,Absolut,Bestand_Jahresbeginn,K03452,92958
2012,Cloppenburg,Absolut,Bestand_Jahresbeginn,K03453,61015
2012,Emsland,Absolut,Bestand_Jahresbeginn,K03454,126879
2012,Friesland,Absolut,Bestand_Jahresbeginn,K03455,49528
2012,Grafschaft Bentheim,Absolut,Bestand_Jahresbeginn,K03456,56947
2012,Leer,Absolut,Bestand_Jahresbeginn,K03457,76743
2012,Oldenburg,Absolut,Bestand_Jahresbeginn,K03458,55200
2012,Osnabrück,Absolut,Bestand_Jahresbeginn,K03459,152212
