Year,Gebietseinheit,Kategorie,Value,GeoCode
2011,Niedersachsen,1_Zimmer,85123,K030
2012,Niedersachsen,1_Zimmer,85778,K030
2013,Niedersachsen,1_Zimmer,86855,K030
2014,Niedersachsen,1_Zimmer,88518,K030
2015,Niedersachsen,1_Zimmer,89345,K030
2016,Niedersachsen,1_Zimmer,90610,K030
2017,Niedersachsen,1_Zimmer,92556,K030
2018,Niedersachsen,1_Zimmer,94128,K030
2019,Niedersachsen,1_Zimmer,95179,K030
2011,Braunschweig,1_Zimmer,25929,K031
2012,Braunschweig,1_Zimmer,25854,K031
2013,Braunschweig,1_Zimmer,25988,K031
2014,Braunschweig,1_Zimmer,26482,K031
2015,Braunschweig,1_Zimmer,26663,K031
2016,Braunschweig,1_Zimmer,26947,K031
2017,Braunschweig,1_Zimmer,27205,K031
2018,Braunschweig,1_Zimmer,27396,K031
2019,Braunschweig,1_Zimmer,27622,K031
2011,Braunschweig Stadt,1_Zimmer,6141,K03101
2012,Braunschweig Stadt,1_Zimmer,6174,K03101
2013,Braunschweig Stadt,1_Zimmer,6187,K03101
2014,Braunschweig Stadt,1_Zimmer,6341,K03101
2015,Braunschweig Stadt,1_Zimmer,6358,K03101
2016,Braunschweig Stadt,1_Zimmer,6380,K03101
2017,Braunschweig Stadt,1_Zimmer,6394,K03101
2018,Braunschweig Stadt,1_Zimmer,6468,K03101
2019,Braunschweig Stadt,1_Zimmer,6467,K03101
2011,Salzgitter.Stadt,1_Zimmer,1298,K03102
2012,Salzgitter.Stadt,1_Zimmer,1299,K03102
2013,Salzgitter.Stadt,1_Zimmer,1316,K03102
2014,Salzgitter.Stadt,1_Zimmer,1319,K03102
2015,Salzgitter.Stadt,1_Zimmer,1319,K03102
2016,Salzgitter.Stadt,1_Zimmer,1319,K03102
2017,Salzgitter.Stadt,1_Zimmer,1325,K03102
2018,Salzgitter.Stadt,1_Zimmer,1331,K03102
2019,Salzgitter.Stadt,1_Zimmer,1333,K03102
2011,Wolfsburg.Stadt,1_Zimmer,1666,K03103
2012,Wolfsburg.Stadt,1_Zimmer,1672,K03103
2013,Wolfsburg.Stadt,1_Zimmer,1689,K03103
2014,Wolfsburg.Stadt,1_Zimmer,1830,K03103
2015,Wolfsburg.Stadt,1_Zimmer,1831,K03103
2016,Wolfsburg.Stadt,1_Zimmer,1852,K03103
2017,Wolfsburg.Stadt,1_Zimmer,1894,K03103
2018,Wolfsburg.Stadt,1_Zimmer,1894,K03103
2019,Wolfsburg.Stadt,1_Zimmer,1970,K03103
2011,Gifhorn,1_Zimmer,721,K03151
2012,Gifhorn,1_Zimmer,720,K03151
2013,Gifhorn,1_Zimmer,751,K03151
2014,Gifhorn,1_Zimmer,752,K03151
2015,Gifhorn,1_Zimmer,758,K03151
2016,Gifhorn,1_Zimmer,764,K03151
2017,Gifhorn,1_Zimmer,782,K03151
2018,Gifhorn,1_Zimmer,795,K03151
2019,Gifhorn,1_Zimmer,845,K03151
2011,Goslar,1_Zimmer,2673,K03153
2012,Goslar,1_Zimmer,2665,K03153
2013,Goslar,1_Zimmer,2665,K03153
2014,Goslar,1_Zimmer,2682,K03153
2015,Goslar,1_Zimmer,2682,K03153
2016,Goslar,1_Zimmer,2682,K03153
2017,Goslar,1_Zimmer,2736,K03153
2018,Goslar,1_Zimmer,2740,K03153
2019,Goslar,1_Zimmer,2751,K03153
2011,Helmstedt,1_Zimmer,360,K03154
2012,Helmstedt,1_Zimmer,360,K03154
2013,Helmstedt,1_Zimmer,378,K03154
2014,Helmstedt,1_Zimmer,377,K03154
2015,Helmstedt,1_Zimmer,377,K03154
2016,Helmstedt,1_Zimmer,394,K03154
2017,Helmstedt,1_Zimmer,395,K03154
2018,Helmstedt,1_Zimmer,396,K03154
2019,Helmstedt,1_Zimmer,402,K03154
2011,Northeim,1_Zimmer,696,K03155
2012,Northeim,1_Zimmer,696,K03155
2013,Northeim,1_Zimmer,698,K03155
2014,Northeim,1_Zimmer,715,K03155
2015,Northeim,1_Zimmer,718,K03155
2016,Northeim,1_Zimmer,720,K03155
2017,Northeim,1_Zimmer,726,K03155
2018,Northeim,1_Zimmer,739,K03155
2019,Northeim,1_Zimmer,748,K03155
2011,Peine,1_Zimmer,734,K03157
2012,Peine,1_Zimmer,736,K03157
2013,Peine,1_Zimmer,739,K03157
2014,Peine,1_Zimmer,742,K03157
2015,Peine,1_Zimmer,835,K03157
2016,Peine,1_Zimmer,835,K03157
2017,Peine,1_Zimmer,861,K03157
2018,Peine,1_Zimmer,868,K03157
2019,Peine,1_Zimmer,874,K03157
2011,Wolfenbüttel,1_Zimmer,935,K03158
2012,Wolfenbüttel,1_Zimmer,935,K03158
2013,Wolfenbüttel,1_Zimmer,936,K03158
2014,Wolfenbüttel,1_Zimmer,936,K03158
