Year,Gebietseinheit,Kategorie,GeoCode,Value
2011,Niedersachsen,Gebäude,K030,2152080
2012,Niedersachsen,Gebäude,K030,2164783
2013,Niedersachsen,Gebäude,K030,2178181
2014,Niedersachsen,Gebäude,K030,2192538
2015,Niedersachsen,Gebäude,K030,2206422
2016,Niedersachsen,Gebäude,K030,2222120
2017,Niedersachsen,Gebäude,K030,2236433
2018,Niedersachsen,Gebäude,K030,2250210
2019,Niedersachsen,Gebäude,K030,2264496
2011,Braunschweig,Gebäude,K031,400642
2012,Braunschweig,Gebäude,K031,402195
2013,Braunschweig,Gebäude,K031,403776
2014,Braunschweig,Gebäude,K031,405515
2015,Braunschweig,Gebäude,K031,407261
2016,Braunschweig,Gebäude,K031,409394
2017,Braunschweig,Gebäude,K031,411460
2018,Braunschweig,Gebäude,K031,413273
2019,Braunschweig,Gebäude,K031,415284
2011,Braunschweig Stadt,Gebäude,K03101,41057
2012,Braunschweig Stadt,Gebäude,K03101,41277
2013,Braunschweig Stadt,Gebäude,K03101,41430
2014,Braunschweig Stadt,Gebäude,K03101,41569
2015,Braunschweig Stadt,Gebäude,K03101,41714
2016,Braunschweig Stadt,Gebäude,K03101,41848
2017,Braunschweig Stadt,Gebäude,K03101,41913
2018,Braunschweig Stadt,Gebäude,K03101,42041
2019,Braunschweig Stadt,Gebäude,K03101,42196
2011,Salzgitter.Stadt,Gebäude,K03102,22855
2012,Salzgitter.Stadt,Gebäude,K03102,22915
2013,Salzgitter.Stadt,Gebäude,K03102,22992
2014,Salzgitter.Stadt,Gebäude,K03102,23039
2015,Salzgitter.Stadt,Gebäude,K03102,23082
2016,Salzgitter.Stadt,Gebäude,K03102,23143
2017,Salzgitter.Stadt,Gebäude,K03102,23219
2018,Salzgitter.Stadt,Gebäude,K03102,23267
2019,Salzgitter.Stadt,Gebäude,K03102,23323
2011,Wolfsburg.Stadt,Gebäude,K03103,25930
2012,Wolfsburg.Stadt,Gebäude,K03103,26146
2013,Wolfsburg.Stadt,Gebäude,K03103,26254
2014,Wolfsburg.Stadt,Gebäude,K03103,26395
2015,Wolfsburg.Stadt,Gebäude,K03103,26505
2016,Wolfsburg.Stadt,Gebäude,K03103,26754
2017,Wolfsburg.Stadt,Gebäude,K03103,26923
2018,Wolfsburg.Stadt,Gebäude,K03103,26999
2019,Wolfsburg.Stadt,Gebäude,K03103,27053
2011,Gifhorn,Gebäude,K03151,52601
2012,Gifhorn,Gebäude,K03151,52930
2013,Gifhorn,Gebäude,K03151,53386
2014,Gifhorn,Gebäude,K03151,53876
2015,Gifhorn,Gebäude,K03151,54349
2016,Gifhorn,Gebäude,K03151,54853
2017,Gifhorn,Gebäude,K03151,55475
2018,Gifhorn,Gebäude,K03151,55961
2019,Gifhorn,Gebäude,K03151,56460
2011,Goslar,Gebäude,K03153,37985
2012,Goslar,Gebäude,K03153,38014
2013,Goslar,Gebäude,K03153,38059
2014,Goslar,Gebäude,K03153,38121
2015,Goslar,Gebäude,K03153,38162
2016,Goslar,Gebäude,K03153,38221
2017,Goslar,Gebäude,K03153,38281
2018,Goslar,Gebäude,K03153,38320
2019,Goslar,Gebäude,K03153,38416
2011,Helmstedt,Gebäude,K03154,28075
2012,Helmstedt,Gebäude,K03154,28120
2013,Helmstedt,Gebäude,K03154,28200
2014,Helmstedt,Gebäude,K03154,28351
2015,Helmstedt,Gebäude,K03154,28469
2016,Helmstedt,Gebäude,K03154,28674
2017,Helmstedt,Gebäude,K03154,28859
2018,Helmstedt,Gebäude,K03154,29071
2019,Helmstedt,Gebäude,K03154,29245
2011,Northeim,Gebäude,K03155,39174
2012,Northeim,Gebäude,K03155,39246
2013,Northeim,Gebäude,K03155,39295
2014,Northeim,Gebäude,K03155,39364
2015,Northeim,Gebäude,K03155,39428
2016,Northeim,Gebäude,K03155,39533
2017,Northeim,Gebäude,K03155,39636
2018,Northeim,Gebäude,K03155,39777
2019,Northeim,Gebäude,K03155,39880
2011,Peine,Gebäude,K03157,39008
2012,Peine,Gebäude,K03157,39213
2013,Peine,Gebäude,K03157,39432
2014,Peine,Gebäude,K03157,39679
2015,Peine,Gebäude,K03157,40014
2016,Peine,Gebäude,K03157,40380
2017,Peine,Gebäude,K03157,40745
2018,Peine,Gebäude,K03157,41060
2019,Peine,Gebäude,K03157,41513
2011,Wolfenbüttel,Gebäude,K03158,34277
2012,Wolfenbüttel,Gebäude,K03158,34429
2013,Wolfenbüttel,Gebäude,K03158,34563
2014,Wolfenbüttel,Gebäude,K03158,34728
2015,Wolfenbüttel,Gebäude,K03158,34940
2016,Wolfenbüttel,Gebäude,K03158,35090
2017,Wolfenbüttel,Gebäude,K03158,35258
2018,Wolfenbüttel,Gebäude,K03158,35386
2019,Wolfenbüttel,Gebäude,K03158,35537
2011,Göttingen,Gebäude,K03159,79680
2012,Göttingen,Gebäude,K03159,79905
2013,Göttingen,Gebäude,K03159,80165
2014,Göttingen,Gebäude,K03159,80393
2015,Göttingen,Gebäude,K03159,80598
2016,Göttingen,Gebäude,K03159,80898
2017,Göttingen,Gebäude,K03159,81151
2018,Göttingen,Gebäude,K03159,81391
2019,Göttingen,Gebäude,K03159,81661
2011,Hannover,Gebäude,K032,500637
2012,Hannover,Gebäude,K032,502995
2013,Hannover,Gebäude,K032,505143
