Gebietseinheit,Aufenthaltstitel,GeoCode,Value
Braunschweig Stadt,Geflüchtete und geduldete Personen insgesamt,K03101,5010
Salzgitter Stadt,Geflüchtete und geduldete Personen insgesamt,K03102,5510
Wolfsburg Stadt,Geflüchtete und geduldete Personen insgesamt,K03103,3680
Gifhorn,Geflüchtete und geduldete Personen insgesamt,K03151,2850
Goslar,Geflüchtete und geduldete Personen insgesamt,K03153,3180
Helmstedt,Geflüchtete und geduldete Personen insgesamt,K03154,1630
Northeim,Geflüchtete und geduldete Personen insgesamt,K03155,2790
Peine,Geflüchtete und geduldete Personen insgesamt,K03157,3280
Wolfenbüttel,Geflüchtete und geduldete Personen insgesamt,K03158,2230
Göttingen,Geflüchtete und geduldete Personen insgesamt,K03159,6445
Statistische Region Braunschweig,Geflüchtete und geduldete Personen insgesamt,K031,36610
Hannover Region,Geflüchtete und geduldete Personen insgesamt,K03241,41725
Hannover Landeshauptstadt,Geflüchtete und geduldete Personen insgesamt,K03241001,21345
Diepholz,Geflüchtete und geduldete Personen insgesamt,K03251,5170
Hameln-Pyrmont,Geflüchtete und geduldete Personen insgesamt,K03252,4980
Hildesheim,Geflüchtete und geduldete Personen insgesamt,K03254,6770
Holzminden,Geflüchtete und geduldete Personen insgesamt,K03255,1185
Nienburg (Weser),Geflüchtete und geduldete Personen insgesamt,K03256,3370
Schaumburg,Geflüchtete und geduldete Personen insgesamt,K03257,4120
Statistische Region Hannover,Geflüchtete und geduldete Personen insgesamt,K032,67310
Celle,Geflüchtete und geduldete Personen insgesamt,K03351,4700
Cuxhaven,Geflüchtete und geduldete Personen insgesamt,K03352,3550
Harburg,Geflüchtete und geduldete Personen insgesamt,K03353,4120
Lüchow-Dannenberg,Geflüchtete und geduldete Personen insgesamt,K03354,655
Lüneburg,Geflüchtete und geduldete Personen insgesamt,K03355,4090
Osterholz,Geflüchtete und geduldete Personen insgesamt,K03356,2080
Rotenburg (Wümme),Geflüchtete und geduldete Personen insgesamt,K03357,2925
Heidekreis,Geflüchtete und geduldete Personen insgesamt,K03358,2800
Stade,Geflüchtete und geduldete Personen insgesamt,K03359,4830
Uelzen,Geflüchtete und geduldete Personen insgesamt,K03360,1510
Verden,Geflüchtete und geduldete Personen insgesamt,K03361,3310
Statistische Region Lüneburg,Geflüchtete und geduldete Personen insgesamt,K033,34575
Delmenhorst.Stadt,Geflüchtete und geduldete Personen insgesamt,K03401,3405
Emden Stadt,Geflüchtete und geduldete Personen insgesamt,K03402,1470
Oldenburg (Oldb) Stadt,Geflüchtete und geduldete Personen insgesamt,K03403,5915
Osnabrück Stadt,Geflüchtete und geduldete Personen insgesamt,K03404,5655
Wilhelmshaven Stadt,Geflüchtete und geduldete Personen insgesamt,K03405,2870
Ammerland,Geflüchtete und geduldete Personen insgesamt,K03451,2650
Aurich,Geflüchtete und geduldete Personen insgesamt,K03452,3305
Cloppenburg,Geflüchtete und geduldete Personen insgesamt,K03453,3420
Emsland,Geflüchtete und geduldete Personen insgesamt,K03454,6350
Friesland,Geflüchtete und geduldete Personen insgesamt,K03455,1985
Grafschaft Bentheim,Geflüchtete und geduldete Personen insgesamt,K03456,2560
Leer,Geflüchtete und geduldete Personen insgesamt,K03457,3700
Oldenburg,Geflüchtete und geduldete Personen insgesamt,K03458,2820
Osnabrück,Geflüchtete und geduldete Personen insgesamt,K03459,4950
Vechta,Geflüchtete und geduldete Personen insgesamt,K03460,4105
Wesermarsch,Geflüchtete und geduldete Personen insgesamt,K03461,1590
Wittmund,Geflüchtete und geduldete Personen insgesamt,K03462,845
Statistische Region Weser-Ems,Geflüchtete und geduldete Personen insgesamt,K034,57595
Niedersachsen,Geflüchtete und geduldete Personen insgesamt,K030,196090
Braunschweig Stadt,Geflüchtete und geduldete Personen insgesamt,K03101,3960
Salzgitter Stadt,Geflüchtete und geduldete Personen insgesamt,K03102,5060
Wolfsburg Stadt,Geflüchtete und geduldete Personen insgesamt,K03103,3490
Gifhorn,Geflüchtete und geduldete Personen insgesamt,K03151,2770
Göttingen,Geflüchtete und geduldete Personen insgesamt,K03159,3095
Goslar,Geflüchtete und geduldete Personen insgesamt,K03153,1685
Helmstedt,Geflüchtete und geduldete Personen insgesamt,K03154,2875
Northeim,Geflüchtete und geduldete Personen insgesamt,K03155,3145
Peine,Geflüchtete und geduldete Personen insgesamt,K03157,2270
Wolfenbüttel,Geflüchtete und geduldete Personen insgesamt,K03158,6635
Statistische Region Braunschweig,Geflüchtete und geduldete Personen insgesamt,K031,34985
Hannover Region,Geflüchtete und geduldete Personen insgesamt,K03241,39230
Hannover Landeshauptstadt,Geflüchtete und geduldete Personen insgesamt,K03241001,19410
Diepholz,Geflüchtete und geduldete Personen insgesamt,K03251,5245
Hameln-Pyrmont,Geflüchtete und geduldete Personen insgesamt,K03252,4715
Hildesheim,Geflüchtete und geduldete Personen insgesamt,K03254,6600
Holzminden,Geflüchtete und geduldete Personen insgesamt,K03255,1365
Nienburg (Weser),Geflüchtete und geduldete Personen insgesamt,K03256,3420
Schaumburg,Geflüchtete und geduldete Personen insgesamt,K03257,4205
Statistische Region Hannover,Geflüchtete und geduldete Personen insgesamt,K032,64775
Celle,Geflüchtete und geduldete Personen insgesamt,K03351,4855
Cuxhaven,Geflüchtete und geduldete Personen insgesamt,K03352,3660
Harburg,Geflüchtete und geduldete Personen insgesamt,K03353,3840
Lüchow-Dannenberg,Geflüchtete und geduldete Personen insgesamt,K03354,645
Lüneburg,Geflüchtete und geduldete Personen insgesamt,K03355,4245
Osterholz,Geflüchtete und geduldete Personen insgesamt,K03356,2140
Rotenburg (Wümme),Geflüchtete und geduldete Personen insgesamt,K03357,2900
Heidekreis,Geflüchtete und geduldete Personen insgesamt,K03358,2560
Stade,Geflüchtete und geduldete Personen insgesamt,K03359,4690
Uelzen,Geflüchtete und geduldete Personen insgesamt,K03360,1505
Verden,Geflüchtete und geduldete Personen insgesamt,K03361,3385
Statistische Region Lüneburg,Geflüchtete und geduldete Personen insgesamt,K033,34425
Delmenhorst.Stadt,Geflüchtete und geduldete Personen insgesamt,K03401,3325
Emden Stadt,Geflüchtete und geduldete Personen insgesamt,K03402,1410
Oldenburg (Oldb) Stadt,Geflüchtete und geduldete Personen insgesamt,K03403,5600
Osnabrück Stadt,Geflüchtete und geduldete Personen insgesamt,K03404,5130
Wilhelmshaven Stadt,Geflüchtete und geduldete Personen insgesamt,K03405,3070
Ammerland,Geflüchtete und geduldete Personen insgesamt,K03451,2595
Aurich,Geflüchtete und geduldete Personen insgesamt,K03452,3555
Cloppenburg,Geflüchtete und geduldete Personen insgesamt,K03453,3500
Emsland,Geflüchtete und geduldete Personen insgesamt,K03454,6240
