Year,Gebietseinheit,Kategorien,Geocode,Value
2012,Niedersachsen,Bestand_Jahresbeginn,K030,3820559.0
2012,Braunschweig,Bestand_Jahresbeginn,K031,820366.0
2012,Braunschweig Stadt,Bestand_Jahresbeginn,K03101,135723.0
2012,Salzgitter.Stadt,Bestand_Jahresbeginn,K03102,54966.0
2012,Wolfsburg.Stadt,Bestand_Jahresbeginn,K03103,63912.0
2012,Gifhorn,Bestand_Jahresbeginn,K03151,75932.0
2012,Goslar,Bestand_Jahresbeginn,K03153,80233.0
2012,Helmstedt,Bestand_Jahresbeginn,K03154,47205.0
2012,Northeim,Bestand_Jahresbeginn,K03155,68858.0
2012,Peine,Bestand_Jahresbeginn,K03157,60912.0
2012,Wolfenbüttel,Bestand_Jahresbeginn,K03158,59846.0
2012,Göttingen,Bestand_Jahresbeginn,K03159,172779.0
2012,Hannover,Bestand_Jahresbeginn,K032,1068063.0
2012,Hannover Region,Bestand_Jahresbeginn,K03241,581008.0
2012,Hannover Landeshauptstadt,Bestand_Jahresbeginn,K03241001,289399.0
2012,Diepholz,Bestand_Jahresbeginn,K03251,95989.0
2012,Hameln-Pyrmont,Bestand_Jahresbeginn,K03252,79401.0
2012,Hildesheim,Bestand_Jahresbeginn,K03254,139530.0
2012,Holzminden,Bestand_Jahresbeginn,K03255,38186.0
2012,Nienburg (Weser),Bestand_Jahresbeginn,K03256,55706.0
2012,Schaumburg,Bestand_Jahresbeginn,K03257,78243.0
2012,Lüneburg,Bestand_Jahresbeginn,K033,800794.0
2012,Celle,Bestand_Jahresbeginn,K03351,87113.0
2012,Cuxhaven,Bestand_Jahresbeginn,K03352,99501.0
2012,Harburg,Bestand_Jahresbeginn,K03353,113640.0
2012,Lüchow-Dannenberg,Bestand_Jahresbeginn,K03354,26055.0
2012,Lüneburg,Bestand_Jahresbeginn,K03355,84930.0
2012,Osterholz,Bestand_Jahresbeginn,K03356,50382.0
2012,Rotenburg (Wümme),Bestand_Jahresbeginn,K03357,72662.0
2012,Heidekreis,Bestand_Jahresbeginn,K03358,66345.0
2012,Stade,Bestand_Jahresbeginn,K03359,91796.0
2012,Uelzen,Bestand_Jahresbeginn,K03360,47250.0
2012,Verden,Bestand_Jahresbeginn,K03361,61120.0
2012,Weser-Ems,Bestand_Jahresbeginn,K034,1131336.0
2012,Delmenhorst.Stadt,Bestand_Jahresbeginn,K03401,37543.0
2012,Emden Stadt,Bestand_Jahresbeginn,K03402,25540.0
2012,Oldenburg (Oldb) Stadt,Bestand_Jahresbeginn,K03403,85582.0
2012,Osnabrück Stadt,Bestand_Jahresbeginn,K03404,84484.0
2012,Wilhelmshaven Stadt,Bestand_Jahresbeginn,K03405,45124.0
2012,Ammerland,Bestand_Jahresbeginn,K03451,54651.0
2012,Aurich,Bestand_Jahresbeginn,K03452,92958.0
2012,Cloppenburg,Bestand_Jahresbeginn,K03453,61015.0
2012,Emsland,Bestand_Jahresbeginn,K03454,126879.0
2012,Friesland,Bestand_Jahresbeginn,K03455,49528.0
2012,Grafschaft Bentheim,Bestand_Jahresbeginn,K03456,56947.0
2012,Leer,Bestand_Jahresbeginn,K03457,76743.0
2012,Oldenburg,Bestand_Jahresbeginn,K03458,55200.0
2012,Osnabrück,Bestand_Jahresbeginn,K03459,152212.0
2012,Vechta,Bestand_Jahresbeginn,K03460,52370.0
2012,Wesermarsch,Bestand_Jahresbeginn,K03461,45262.0
2012,Wittmund,Bestand_Jahresbeginn,K03462,29298.0
2013,Niedersachsen,Bestand_Jahresbeginn,K030,3840475.0
2013,Braunschweig,Bestand_Jahresbeginn,K031,822205.0
2013,Braunschweig Stadt,Bestand_Jahresbeginn,K03101,136237.0
2013,Salzgitter.Stadt,Bestand_Jahresbeginn,K03102,55028.0
2013,Wolfsburg.Stadt,Bestand_Jahresbeginn,K03103,63875.0
2013,Gifhorn,Bestand_Jahresbeginn,K03151,76341.0
2013,Goslar,Bestand_Jahresbeginn,K03153,80265.0
2013,Helmstedt,Bestand_Jahresbeginn,K03154,47254.0
