Year,Gebietseinheit,Kategorie,GeoCode,Value
2011,Niedersachsen,Wohnungen_Insgesamt,K030,3820559.0
2012,Niedersachsen,Wohnungen_Insgesamt,K030,3840475.0
2013,Niedersachsen,Wohnungen_Insgesamt,K030,3863171.0
2014,Niedersachsen,Wohnungen_Insgesamt,K030,3888731.0
2015,Niedersachsen,Wohnungen_Insgesamt,K030,3914139.0
2016,Niedersachsen,Wohnungen_Insgesamt,K030,3943369.0
2017,Niedersachsen,Wohnungen_Insgesamt,K030,3971972.0
2018,Niedersachsen,Wohnungen_Insgesamt,K030,3999256.0
2019,Niedersachsen,Wohnungen_Insgesamt,K030,4027384.0
2011,Braunschweig,Wohnungen_Insgesamt,K031,820366.0
2012,Braunschweig,Wohnungen_Insgesamt,K031,822205.0
2013,Braunschweig,Wohnungen_Insgesamt,K031,824615.0
2014,Braunschweig,Wohnungen_Insgesamt,K031,827735.0
2015,Braunschweig,Wohnungen_Insgesamt,K031,830798.0
2016,Braunschweig,Wohnungen_Insgesamt,K031,834687.0
2017,Braunschweig,Wohnungen_Insgesamt,K031,838761.0
2018,Braunschweig,Wohnungen_Insgesamt,K031,842376.0
2019,Braunschweig,Wohnungen_Insgesamt,K031,846432.0
2011,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,135723.0
2012,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,136237.0
2013,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,136582.0
2014,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,137072.0
2015,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,137475.0
2016,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,137907.0
2017,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,138206.0
2018,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,138836.0
2019,Braunschweig Stadt,Wohnungen_Insgesamt,K03101,139318.0
2011,Salzgitter.Stadt,Wohnungen_Insgesamt,K03102,54966.0
2012,Salzgitter.Stadt,Wohnungen_Insgesamt,K03102,55028.0
2013,Salzgitter.Stadt,Wohnungen_Insgesamt,K03102,55136.0
2014,Salzgitter.Stadt,Wohnungen_Insgesamt,K03102,55191.0
2015,Salzgitter.Stadt,Wohnungen_Insgesamt,K03102,55249.0
2016,Salzgitter.Stadt,Wohnungen_Insgesamt,K03102,55328.0
