Value,Disaggregation combinations using this value,Number of indicators
Asyl-berechtigte GFK-Flüchtlinge,52,1
Aufenthalts-gestattung zum Asyl-verfahren,52,1
Aufnahmeerklärung vor Schutz Resettlement Kontingentflüchtlinge,52,1
Bleiberecht (Aufenthalts-gewährung) Opfer von Menschen- handel und organisierter Schwarz- arbeit2),52,1
davon mit Niederlassungs-erlaubnis ,52,1
Dringende persönliche o. humanitäre Gründe Härtefälle,52,1
Duldung,52,1
Familiennachzug3),52,1
Geflüchtete und geduldete Personen insgesamt,52,1
Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,52,1
Verbot der Abschiebung Subsidiärer Schutz1),52,1
